UID,MID,发布时间,微博内容,微博链接,发布者昵称,发布来源,主页链接,转发数,评论数,点赞数,博主昵称,性别,个人签名,粉丝数,关注数,所属IP地址,微博数,是否认证,头像链接,媒体类型,log10,认证类型
7757780439	,4853069760433536	,2023-01-01 11:00:00,#好水旺财兔年吉祥#发现农夫山泉已经连续8年春节前夕推出“限量”且“只送不卖”的生肖版玻璃瓶水了。最近新推出的金兔水，设计真的也堪称一绝，有着媲美奢侈品大牌质感，农夫山泉通过用瓶身展现长白山的生态文化，把大自然与动物的奇妙关系凝结在瓶身之中，瓶身上的兔子图案细腻逼真，既精致又有内涵，高级感满满！限量十万套，参与方式是无门槛的小程序抽奖，微信搜索小程序“好水旺财兔年吉祥”就可以参与，心动时刻！#农夫山泉生肖典藏#是真的好好看，都来抽！收起d,https://weibo.com/5749767678/Mmgd0hlFM?refer_flag=1001030103_,Sun-lifeq,微博  weibo.com,https://weibo.com/7757780439?refer_flag=1001030103_,0,0,0,Sun-lifeq,女,,10,642,黑龙江 哈尔滨,4149,False,"https://tvax3.sinaimg.cn/crop.0.0.664.664.180/008t0R4Xly8hcjh5dt9soj30ig0igwfw.jpg?KID=imgbed,tva&Expires=1710136321&ssig=Plg9n4L9gP",nan,nan,无认证
7549531274	,4853069692807267	,2023-01-01 11:00:00,#好水旺财兔年吉祥#发现农夫山泉已经连续8年春节前夕推出“限量”且“只送不卖”的生肖版玻璃瓶水了。最近新推出的金兔水，设计真的也堪称一绝，有着媲美奢侈品大牌质感，农夫山泉通过用瓶身展现长白山的生态文化，把大自然与动物的奇妙关系凝结在瓶身之中，瓶身上的兔子图案细腻逼真，既精致又有内涵，高级感满满！限量十万套，参与方式是无门槛的小程序抽奖，微信搜索小程序“好水旺财兔年吉祥”就可以参与，心动时刻！#农夫山泉生肖典藏#是真的好好看，都来抽！收起d,https://weibo.com/5749767678/Mmgd0hlFM?refer_flag=1001030103_,林小雨咯zero,微博  weibo.com,https://weibo.com/7549531274?refer_flag=1001030103_,0,0,0,林小雨咯zero,女,,189,1357,北京 海淀区,12250,False,"https://tvax2.sinaimg.cn/crop.0.0.677.677.180/008eV3Xsly8h7az3c8g81j30it0itmxb.jpg?KID=imgbed,tva&Expires=1710136321&ssig=swWCq%2FX8dl",nan,nan,无认证
5642278112	,4853069584008158	,2023-01-01 11:00:00,#好水旺财兔年吉祥#发现农夫山泉已经连续8年春节前夕推出“限量”且“只送不卖”的生肖版玻璃瓶水了。最近新推出的金兔水，设计真的也堪称一绝，有着媲美奢侈品大牌质感，农夫山泉通过用瓶身展现长白山的生态文化，把大自然与动物的奇妙关系凝结在瓶身之中，瓶身上的兔子图案细腻逼真，既精致又有内涵，高级感满满！限量十万套，参与方式是无门槛的小程序抽奖，微信搜索小程序“好水旺财兔年吉祥”就可以参与，心动时刻！#农夫山泉生肖典藏#是真的好好看，都来抽！收起d,https://weibo.com/5749767678/Mmgd0hlFM?refer_flag=1001030103_,别管我了我只是一个奇行种,微博  weibo.com,https://weibo.com/5642278112?refer_flag=1001030103_,0,0,0,别管我了我只是一个奇行种,女,,30,876,其他,3342,False,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/0069QqhGly8h9pr209sbgj30u00u0gs9.jpg?KID=imgbed,tva&Expires=1710136322&ssig=ayV1r94wxf",nan,nan,无认证
6318866624	,4853069416760376	,2023-01-01 11:00:00,#好水旺财兔年吉祥#发现农夫山泉已经连续8年春节前夕推出“限量”且“只送不卖”的生肖版玻璃瓶水了。最近新推出的金兔水，设计真的也堪称一绝，有着媲美奢侈品大牌质感，农夫山泉通过用瓶身展现长白山的生态文化，把大自然与动物的奇妙关系凝结在瓶身之中，瓶身上的兔子图案细腻逼真，既精致又有内涵，高级感满满！限量十万套，参与方式是无门槛的小程序抽奖，微信搜索小程序“好水旺财兔年吉祥”就可以参与，心动时刻！#农夫山泉生肖典藏#是真的好好看，都来抽！收起d,https://weibo.com/5749767678/Mmgd0hlFM?refer_flag=1001030103_,让我们一起爱护小动物吧,微博  weibo.com,https://weibo.com/6318866624?refer_flag=1001030103_,0,0,0,让我们一起爱护小动物吧,女,微笑面对一切,387,2056,北京 朝阳区,12440,False,"https://tvax1.sinaimg.cn/crop.0.0.628.628.180/006TDjRCly8h73xv44aw5j30hg0hgmy4.jpg?KID=imgbed,tva&Expires=1710136322&ssig=hYWhZJD4%2Bv",nan,nan,无认证
6610986102	,4853068971638915	,2023-01-01 11:00:00,#好水旺财兔年吉祥#发现农夫山泉已经连续8年春节前夕推出“限量”且“只送不卖”的生肖版玻璃瓶水了。最近新推出的金兔水，设计真的也堪称一绝，有着媲美奢侈品大牌质感，农夫山泉通过用瓶身展现长白山的生态文化，把大自然与动物的奇妙关系凝结在瓶身之中，瓶身上的兔子图案细腻逼真，既精致又有内涵，高级感满满！限量十万套，参与方式是无门槛的小程序抽奖，微信搜索小程序“好水旺财兔年吉祥”就可以参与，心动时刻！#农夫山泉生肖典藏#是真的好好看，都来抽！收起d,https://weibo.com/5749767678/Mmgd0hlFM?refer_flag=1001030103_,区区一颗番茄,微博  weibo.com,https://weibo.com/6610986102?refer_flag=1001030103_,0,0,0,区区一颗番茄,女,破罐子破摔十级选手,151,1069,上海,18875,False,"https://tvax1.sinaimg.cn/crop.0.0.883.883.180/007dp1u6ly8hcirwk196yj30oj0ojq4s.jpg?KID=imgbed,tva&Expires=1710136323&ssig=myearOA6v2",nan,nan,无认证
6181658586	,4853068195173807	,2023-01-01 11:51:00,拼刀刀维达细韧3层100抽24包5人团24.9【5人团】维达细韧抽纸3层100抽24包家用面巾纸卫生纸餐巾纸整箱农夫山泉纽荷尔脐橙3KG5人团37.9【5人团】农夫山泉纽橙子3KG多规格超甜纽荷尔脐橙新鲜水果批发整箱礼盒可口可乐330ml*245人团36.9【5人团】可口可乐/雪碧/芬达/零度无糖330ml*24摩登罐装碳酸饮料冰糖心丑苹果净重4.5斤5人团17.9【5人团】万荣苹果纸加膜红富士苹果净重4.5斤80mm冰糖心丑苹果好时巧克力500g5人团39【5人团】好时巧克力500g水滴巧克奶香白巧黑巧巴旦木巧克力【3天内发货】老街口原色开心果500g5人团39.9【5人团】老街口原色开心果500g罐装大颗粒坚果炒货特产干果仁零食批发老街口奶油味夏威夷果500g5人团26.9【5人团】老街口奶油味夏威夷果500g罐装新货坚果零食小吃炒货干果年货农夫山泉NFC果汁300ml*10瓶5人团42.9【5人团】农夫山泉NFC果汁鲜榨橙汁纯果汁饮料300ml*10瓶非整箱蒙牛低脂高钙牛奶250ml×16盒5人团30.9【5人团】【10月产】蒙牛低脂高钙牛奶250ml×16盒早餐奶整箱批发囤货收起d,https://weibo.com/6181658586/MmgxRlHWv?refer_flag=1001030103_,多多小卖铺,微博 weibo.com,https://weibo.com/6181658586?refer_flag=1001030103_,0,0,0,多多小卖铺,女,拼刀刀实惠到家服务,520,4,其他,157420,False,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/006KlBMKly8gdyyk8bij2j30u00u00uf.jpg?KID=imgbed,tva&Expires=1710136324&ssig=8ifgWF6sFv",nan,nan,无认证
1566913932	,4853068167127630	,2023-01-01 11:51:00,拼刀刀维达细韧3层100抽24包5人团24.9【5人团】维达细韧抽纸3层100抽24包家用面巾纸卫生纸餐巾纸整箱农夫山泉纽荷尔脐橙3KG5人团37.9【5人团】农夫山泉纽橙子3KG多规格超甜纽荷尔脐橙新鲜水果批发整箱礼盒可口可乐330ml*245人团36.9【5人团】可口可乐/雪碧/芬达/零度无糖330ml*24摩登罐装碳酸饮料冰糖心丑苹果净重4.5斤5人团17.9【5人团】万荣苹果纸加膜红富士苹果净重4.5斤80mm冰糖心丑苹果好时巧克力500g5人团39【5人团】好时巧克力500g水滴巧克奶香白巧黑巧巴旦木巧克力【3天内发货】老街口原色开心果500g5人团39.9【5人团】老街口原色开心果500g罐装大颗粒坚果炒货特产干果仁零食批发老街口奶油味夏威夷果500g5人团26.9【5人团】老街口奶油味夏威夷果500g罐装新货坚果零食小吃炒货干果年货农夫山泉NFC果汁300ml*10瓶5人团42.9【5人团】农夫山泉NFC果汁鲜榨橙汁纯果汁饮料300ml*10瓶非整箱蒙牛低脂高钙牛奶250ml×16盒5人团30.9【5人团】【10月产】蒙牛低脂高钙牛奶250ml×16盒早餐奶整箱批发囤货收起d,https://weibo.com/1566913932/MmgxOtUdM?refer_flag=1001030103_,猫超包邮菌,微博 weibo.com,https://weibo.com/1566913932?refer_flag=1001030103_,0,0,0,猫超包邮菌,男,猫超/PDD/狗东推荐，开心生活~,29204,107,江苏 南通,190393,False,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/001I2BTmly8gv70wdo703j60u00u0q4602.jpg?KID=imgbed,tva&Expires=1710136325&ssig=LbO%2BcKIMRq",公共媒体,4.46544233976875,无认证
7373138207	,4853067877453309	,2023-01-01 11:50:00,PDD【37.90】农夫山泉.纽橙子3KG，果径65-80mm的，需5人拼团,https://weibo.com/7373138207/MmgxlvgWF?refer_flag=1001030103_,幸运小白爱分享,微博 weibo.com,https://weibo.com/7373138207?refer_flag=1001030103_,0,1,0,幸运小白爱分享,女,,172011,71,江苏,102098,False,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/0082YW3Zly8gc1kesjviwj30e80e8wem.jpg?KID=imgbed,tva&Expires=1710136326&ssig=S1XTG3EW8z",公共媒体,5.235556220666543,无认证
6051479336	,4853067852548787	,2023-01-01 11:50:00,PDD【37.90】农夫山泉.纽橙子3KG，果径65-80mm的，需5人拼团,https://weibo.com/6051479336/MmgxjaH3t?refer_flag=1001030103_,白菜零食酱,微博 weibo.com,https://weibo.com/6051479336?refer_flag=1001030103_,0,1,0,白菜零食酱,女,以挖掘零食白菜购物券为主，偶尔也挖挖衣服鞋子帽子家居用品，毕竟我们要吃得开心，穿得美腻。( ⸝⸝⸝⁼̴́⌄⁼̴̀⸝⸝⸝),392385,82,江苏 南京,244501,True,"https://tva1.sinaimg.cn/crop.0.0.640.640.180/006Bxodqjw8f93e8jf0dpj30hs0hswhp.jpg?KID=imgbed,tva&Expires=1710136327&ssig=lKtAW6clgK",公共媒体,5.5937123969195754,微博个人认证(黄V)
6193085992	,4853066811064558	,2023-01-01 11:45:00,啊这……无意之间点进了农夫山泉的小程序，就这么中奖了……,https://weibo.com/6193085992/MmgvD4sWi?refer_flag=1001030103_,小小羊肉串串,荣耀 Play4T Pro,https://weibo.com/6193085992?refer_flag=1001030103_,0,0,0,小小羊肉串串,女,与其反思自己，不如指责别人！,11,96,其他,117,False,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/006L7yzKly8hbmso4wlsij30u00u00uz.jpg?KID=imgbed,tva&Expires=1710136327&ssig=QuBRdKsZxV",nan,nan,无认证
